id path model viewthresh viewmode iter Egr Mgr Rep Swi Adh Act Inh Sec Da Di Ds Int Set Boy Dff Bgr Abi Pbi Lbi Bbi Rad Deg Dgr Ntr Bwi Ina uMgr faulty
19 exports_example/example_scan_1/screenshots/ToothMaker_1900_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0183 200.0 1.0 0.0 0.001 1.01 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
20 exports_example/example_scan_1/screenshots/ToothMaker_10900_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.03 200.0 1.0 0.0 0.001 1.01 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
21 exports_example/example_scan_1/screenshots/ToothMaker_51000_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0235 200.0 1.0 0.0 0.001 1.1 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
22 exports_example/example_scan_1/screenshots/ToothMaker_3800_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0209 200.0 1.0 0.0 0.001 0.92 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
23 exports_example/example_scan_1/screenshots/ToothMaker_0600_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.017 200.0 1.0 0.0 0.001 0.74 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
24 exports_example/example_scan_1/screenshots/ToothMaker_81000_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0274 200.0 1.0 0.0 0.001 1.1 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
25 exports_example/example_scan_1/screenshots/ToothMaker_6300_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0248 200.0 1.0 0.0 0.001 0.47 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
26 exports_example/example_scan_1/screenshots/ToothMaker_8500_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0274 200.0 1.0 0.0 0.001 0.65 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
27 exports_example/example_scan_1/screenshots/ToothMaker_1200_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0183 200.0 1.0 0.0 0.001 0.38 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
28 exports_example/example_scan_1/screenshots/ToothMaker_10200_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.03 200.0 1.0 0.0 0.001 0.38 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
29 exports_example/example_scan_1/screenshots/ToothMaker_9100_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0287 200.0 1.0 0.0 0.001 0.29 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
30 exports_example/example_scan_1/screenshots/ToothMaker_7700_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0261 200.0 1.0 0.0 0.001 0.83 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
31 exports_example/example_scan_1/screenshots/ToothMaker_4900_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0222 200.0 1.0 0.0 0.001 1.01 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
32 exports_example/example_scan_1/screenshots/ToothMaker_6800_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0248 200.0 1.0 0.0 0.001 0.92 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
33 exports_example/example_scan_1/screenshots/ToothMaker_5600_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0235 200.0 1.0 0.0 0.001 0.74 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
34 exports_example/example_scan_1/screenshots/ToothMaker_3300_0000009000.png "Tribosphenic tooth" 0.08 4 9000 0.0209 200.0 1.0 0.0 0.001 0.47 9.0 0.02 0.2 0.2 0.2 0.19 0.95 0.1 0.0004 1.5 7.5 7.5 1.0 1.0 2.0 0.075 10000.0 1e-05 0.7 0.0 0.0 0
